,similarity_treshold,social_influence,swingers,no_of_neighbors,echo_limit,opinions,Run,Silent_Spiral,community_no,echo_chamber,echo_count,echo_size,majority_percentage,radical_opinions,transitivity,network_type
1111,0.0816308594,0.0684472656,4.00390625,3.27734375,0.8502441406,2.0146484375,1111,0.42,10,104,0.0246270424,{'3': 104},0.5680000000000001,0.001,0.0215568397,2
1112,0.0410253906,0.0524511719,1.57421875,3.20703125,0.8232910156000001,4.3466796875,1112,0.34,12,91,0.0215231788,"{'3': 90, '4': 1}",0.534,0.0,0.0188870737,2
1113,0.0478808594,0.0524511719,1.57421875,3.20703125,0.8232910156000001,4.3466796875,1113,0.36,11,47,0.0111665479,{'3': 47},0.554,0.0,0.0137743689,2
1114,0.0410253906,0.0121972656,1.57421875,3.20703125,0.8232910156000001,4.3466796875,1114,0.44,15,94,0.0216013149,"{'3': 91, '4': 1}",0.778,0.002,0.0212062274,2
1115,0.0410253906,0.0524511719,2.50390625,3.20703125,0.8232910156000001,4.3466796875,1115,0.32,10,62,0.014702395100000001,{'3': 62},0.432,0.002,0.014707826600000001,2
1116,0.0410253906,0.0524511719,1.57421875,4.77734375,0.8232910156000001,4.3466796875,1116,0.30000000000000004,7,129,0.0231224234,"{'3': 127, '4': 2}",0.443,0.0,0.0177564911,2
1117,0.0410253906,0.0524511719,1.57421875,3.20703125,0.9439941406000001,4.3466796875,1117,0.08,13,75,0.0176221805,"{'3': 74, '4': 1}",0.507,0.001,0.019683847600000002,2
1118,0.0410253906,0.0524511719,1.57421875,3.20703125,0.8232910156000001,2.3896484375,1118,0.52,12,96,0.022868032400000002,"{'3': 95, '4': 1}",0.509,0.0,0.0181320902,2
1119,0.0478808594,0.0121972656,2.50390625,4.77734375,0.9439941406000001,2.3896484375,1119,0.52,12,115,0.0209281165,"{'3': 111, '4': 4}",0.762,0.001,0.0215868674,2
112,0.0410253906,0.0524511719,1.57421875,3.20703125,0.8232910156000001,4.3466796875,112,0.0,16,112,0.0268327743,{'3': 112},0.903,0.0,0.0209859414,2
1120,0.0297753906,0.0187011719,3.07421875,4.70703125,0.8420410156,4.7216796875,1120,0.0,13,317,0.0559428061,"{'3': 311, '4': 2}",0.983,0.0,0.029734552100000002,2
